ssssffff
sffff
¦r¬q2,¦r¬q1,¦r¬q3,¦r¬q4,¦r¬q5,¦r¬q6,‹ï­±??
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          16.6162
        ","
          16.8187
        ","
          04/21 00:14:15
        ","
          04/21 00:31:19
        ","
          12.18%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          16.6127
        ","
          16.8000
        ","
          04/21 00:14:17
        ","
          04/21 00:31:17
        ","
          11.27%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          16.6055
        ","
          16.7978
        ","
          04/21 00:14:19
        ","
          04/21 00:31:14
        ","
          11.58%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          16.6186
        ","
          16.7934
        ","
          04/21 00:14:29
        ","
          04/21 00:31:12
        ","
          10.51%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2104
        ","
          17.4975
        ","
          04/20 00:33:57
        ","
          04/20 07:50:00
        ","
          10.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2139
        ","
          17.5007
        ","
          04/20 00:34:02
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2113
        ","
          17.4981
        ","
          04/20 00:33:49
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2138
        ","
          17.5006
        ","
          04/20 00:33:47
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2110
        ","
          17.4978
        ","
          04/20 00:33:51
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2167
        ","
          17.5036
        ","
          04/20 00:34:06
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2157
        ","
          17.5026
        ","
          04/20 00:34:04
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2084
        ","
          17.4952
        ","
          04/20 00:33:54
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2153
        ","
          17.5022
        ","
          04/20 00:34:09
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          17.2076
        ","
          17.4943
        ","
          04/20 00:34:11
        ","
          04/20 07:49:59
        ","
          9.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            EOS/USDT
            (3X) 
            °µ¦h
          ","
          2.5742
        ","
          2.6171
        ","
          04/18 00:16:22
        ","
          04/20 00:13:42
        ","
          4.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            EOS/USDT
            (3X) 
            °µ¦h
          ","
          2.5743
        ","
          2.6172
        ","
          04/18 00:16:28
        ","
          04/20 00:13:42
        ","
          4.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            EOS/USDT
            (3X) 
            °µ¦h
          ","
          2.5743
        ","
          2.6172
        ","
          04/18 00:16:30
        ","
          04/20 00:13:42
        ","
          4.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            EOS/USDT
            (3X) 
            °µ¦h
          ","
          2.5741
        ","
          2.6170
        ","
          04/18 00:16:25
        ","
          04/20 00:13:42
        ","
          4.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            EOS/USDT
            (3X) 
            °µ¦h
          ","
          2.5741
        ","
          2.6170
        ","
          04/18 00:16:26
        ","
          04/20 00:13:41
        ","
          4.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40491.55
        ","
          40771.91
        ","
          04/18 00:12:26
        ","
          04/19 05:17:54
        ","
          6.92%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40491.53
        ","
          40772.02
        ","
          04/18 00:12:28
        ","
          04/19 05:17:52
        ","
          6.92%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40491.37
        ","
          40772.69
        ","
          04/18 00:12:29
        ","
          04/19 05:17:47
        ","
          6.94%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40491.37
        ","
          40772.52
        ","
          04/18 00:12:31
        ","
          04/19 05:17:44
        ","
          6.94%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          40488.62
        ","
          40770.50
        ","
          04/18 00:12:32
        ","
          04/19 05:17:42
        ","
          6.95%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3392
        ","
          15.6723
        ","
          04/19 00:04:51
        ","
          04/19 01:57:31
        ","
          21.70%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3389
        ","
          15.6668
        ","
          04/19 00:04:53
        ","
          04/19 01:57:29
        ","
          21.37%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3377
        ","
          15.6585
        ","
          04/19 00:04:55
        ","
          04/19 01:57:27
        ","
          20.91%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3374
        ","
          15.6510
        ","
          04/19 00:04:57
        ","
          04/19 01:57:25
        ","
          20.44%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3354
        ","
          15.6548
        ","
          04/19 00:05:00
        ","
          04/19 01:57:23
        ","
          20.82%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3058
        ","
          15.6516
        ","
          04/19 00:05:58
        ","
          04/19 01:57:21
        ","
          22.59%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3053
        ","
          15.6706
        ","
          04/19 00:06:00
        ","
          04/19 01:57:19
        ","
          23.86%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3050
        ","
          15.6709
        ","
          04/19 00:06:02
        ","
          04/19 01:57:17
        ","
          23.90%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3063
        ","
          15.6736
        ","
          04/19 00:06:03
        ","
          04/19 01:57:16
        ","
          23.99%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          15.3058
        ","
          15.6771
        ","
          04/19 00:06:05
        ","
          04/19 01:57:14
        ","
          24.25%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4476
        ","
          16.6300
        ","
          04/15 00:06:01
        ","
          04/18 00:49:51
        ","
          5.54%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4480
        ","
          16.6152
        ","
          04/15 00:06:02
        ","
          04/18 00:49:41
        ","
          5.08%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4507
        ","
          16.6196
        ","
          04/15 00:06:04
        ","
          04/18 00:49:40
        ","
          5.13%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4432
        ","
          16.6342
        ","
          04/15 00:06:06
        ","
          04/18 00:49:38
        ","
          5.80%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4390
        ","
          16.6335
        ","
          04/15 00:06:10
        ","
          04/18 00:49:36
        ","
          5.91%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4621
        ","
          16.6433
        ","
          04/15 00:09:32
        ","
          04/18 00:49:35
        ","
          5.50%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4626
        ","
          16.6251
        ","
          04/15 00:09:33
        ","
          04/18 00:49:33
        ","
          4.93%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4593
        ","
          16.6347
        ","
          04/15 00:09:35
        ","
          04/18 00:49:31
        ","
          5.31%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4591
        ","
          16.6425
        ","
          04/15 00:09:36
        ","
          04/18 00:49:29
        ","
          5.57%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4598
        ","
          16.6401
        ","
          04/15 00:09:39
        ","
          04/18 00:49:28
        ","
          5.47%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9955
        ","
          16.3794
        ","
          04/16 00:00:24
        ","
          04/18 00:11:09
        ","
          14.39%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9959
        ","
          16.3782
        ","
          04/16 00:00:27
        ","
          04/18 00:11:06
        ","
          14.33%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9946
        ","
          16.3792
        ","
          04/16 00:00:29
        ","
          04/18 00:11:05
        ","
          14.42%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9916
        ","
          16.3749
        ","
          04/16 00:00:32
        ","
          04/18 00:11:03
        ","
          14.38%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9896
        ","
          16.3721
        ","
          04/16 00:00:36
        ","
          04/18 00:11:01
        ","
          14.35%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9562
        ","
          16.3721
        ","
          04/16 00:00:52
        ","
          04/18 00:10:59
        ","
          15.62%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9611
        ","
          16.3751
        ","
          04/16 00:00:55
        ","
          04/18 00:10:58
        ","
          15.55%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9669
        ","
          16.3771
        ","
          04/16 00:00:57
        ","
          04/18 00:10:56
        ","
          15.40%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9679
        ","
          16.3774
        ","
          04/16 00:01:00
        ","
          04/18 00:10:54
        ","
          15.37%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (6X) 
            °µ¦h
          ","
          15.9721
        ","
          16.3744
        ","
          04/16 00:01:03
        ","
          04/18 00:10:52
        ","
          15.11%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          15.7874
        ","
          16.3719
        ","
          04/17 00:17:32
        ","
          04/18 00:10:51
        ","
          18.50%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          15.7864
        ","
          16.3660
        ","
          04/17 00:17:34
        ","
          04/18 00:10:48
        ","
          18.35%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          15.7864
        ","
          16.3650
        ","
          04/17 00:17:35
        ","
          04/18 00:10:47
        ","
          18.32%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          15.7869
        ","
          16.3709
        ","
          04/17 00:17:37
        ","
          04/18 00:10:44
        ","
          18.49%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          15.7884
        ","
          16.3797
        ","
          04/17 00:17:41
        ","
          04/18 00:10:42
        ","
          18.72%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            LINK/USDT
            (3X) 
            °µ¦h
          ","
          13.9063
        ","
          14.5645
        ","
          04/17 00:16:57
        ","
          04/17 15:16:27
        ","
          14.19%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            LINK/USDT
            (3X) 
            °µ¦h
          ","
          13.9063
        ","
          14.5631
        ","
          04/17 00:16:59
        ","
          04/17 15:16:25
        ","
          14.16%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            LINK/USDT
            (3X) 
            °µ¦h
          ","
          13.9063
        ","
          14.5650
        ","
          04/17 00:17:01
        ","
          04/17 15:16:23
        ","
          14.21%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            LINK/USDT
            (3X) 
            °µ¦h
          ","
          13.9058
        ","
          14.5653
        ","
          04/17 00:17:02
        ","
          04/17 15:16:21
        ","
          14.21%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            LINK/USDT
            (3X) 
            °µ¦h
          ","
          13.9058
        ","
          14.5660
        ","
          04/17 00:17:04
        ","
          04/17 15:16:19
        ","
          14.24%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4351
        ","
          16.8655
        ","
          04/14 00:06:00
        ","
          04/14 00:15:41
        ","
          13.08%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4197
        ","
          16.8655
        ","
          04/14 00:05:53
        ","
          04/14 00:15:41
        ","
          13.56%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4167
        ","
          16.8655
        ","
          04/14 00:05:50
        ","
          04/14 00:15:40
        ","
          13.66%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4102
        ","
          16.8655
        ","
          04/14 00:05:49
        ","
          04/14 00:15:40
        ","
          13.87%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4171
        ","
          16.8655
        ","
          04/14 00:05:41
        ","
          04/14 00:15:40
        ","
          13.65%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4164
        ","
          16.8655
        ","
          04/14 00:05:36
        ","
          04/14 00:15:40
        ","
          13.66%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4188
        ","
          16.8655
        ","
          04/14 00:05:33
        ","
          04/14 00:15:40
        ","
          13.60%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4193
        ","
          16.8655
        ","
          04/14 00:05:32
        ","
          04/14 00:15:40
        ","
          13.58%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4158
        ","
          16.8655
        ","
          04/14 00:05:30
        ","
          04/14 00:15:40
        ","
          13.69%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.4049
        ","
          16.8970
        ","
          04/14 00:05:47
        ","
          04/14 00:12:55
        ","
          15.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5619
        ","
          16.7275
        ","
          04/13 01:27:31
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5644
        ","
          16.7300
        ","
          04/13 01:27:33
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5662
        ","
          16.7318
        ","
          04/13 01:27:29
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5688
        ","
          16.7344
        ","
          04/13 01:27:47
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5669
        ","
          16.7325
        ","
          04/13 01:27:27
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5635
        ","
          16.7291
        ","
          04/13 01:27:37
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5635
        ","
          16.7291
        ","
          04/13 01:27:35
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (5X) 
            °µ¦h
          ","
          16.5652
        ","
          16.7308
        ","
          04/13 01:27:25
        ","
          04/14 00:12:09
        ","
          5.00%
        ",Camera ? ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
